film,chapter,location,detailed_location,character,race,words
The Fellowship Of The Ring,10: The Shadow Of The Past,Voiceover,Unknown,Bilbo,Hobbit,28
The Fellowship Of The Ring,10: The Shadow Of The Past,The Shire,Bag End,Frodo,Hobbit,139
The Fellowship Of The Ring,10: The Shadow Of The Past,The Shire,Bag End,Gandalf,Ainur,541
The Fellowship Of The Ring,10: The Shadow Of The Past,Mordor,Barad-dur,Gollum,Gollum,2
The Fellowship Of The Ring,10: The Shadow Of The Past,The Shire,Unknown,Hobbits,Hobbit,3
The Fellowship Of The Ring,10: The Shadow Of The Past,The Shire,Bag End,Sam,Hobbit,84
The Fellowship Of The Ring,11: The Passing Of The Elves,The Shire,Unknown,Frodo,Hobbit,43
The Fellowship Of The Ring,11: The Passing Of The Elves,The Shire,Unknown,Sam,Hobbit,40
The Fellowship Of The Ring,12: Saruman The White,Isengard,Isengard Valley,Gandalf,Ainur,31
The Fellowship Of The Ring,12: Saruman The White,Isengard,Isengard Valley,Saruman,Ainur,78
The Fellowship Of The Ring,12: Saruman The White,Isengard,Orthanc,Gandalf,Ainur,54
The Fellowship Of The Ring,12: Saruman The White,Isengard,Orthanc,Saruman,Ainur,196
The Fellowship Of The Ring,13: A Shortcut To Mushrooms,The Shire,Farmer Maggot's Fields,Farmer Maggot,Hobbit,21
The Fellowship Of The Ring,13: A Shortcut To Mushrooms,The Shire,Farmer Maggot's Fields,Frodo,Hobbit,37
The Fellowship Of The Ring,13: A Shortcut To Mushrooms,The Shire,Farmer Maggot's Fields,Merry,Hobbit,58
The Fellowship Of The Ring,13: A Shortcut To Mushrooms,The Shire,Farmer Maggot's Fields,Pippin,Hobbit,32
The Fellowship Of The Ring,13: A Shortcut To Mushrooms,The Shire,Farmer Maggot's Fields,Sam,Hobbit,48
The Fellowship Of The Ring,14: Buckleberry Ferry,The Shire,The Bucklebury Ferry,Frodo,Hobbit,20
The Fellowship Of The Ring,14: Buckleberry Ferry,The Shire,The Bucklebury Ferry,Merry,Hobbit,43
The Fellowship Of The Ring,14: Buckleberry Ferry,The Shire,The Bucklebury Ferry,Pippin,Hobbit,14
The Fellowship Of The Ring,14: Buckleberry Ferry,The Shire,The Bucklebury Ferry,Sam,Hobbit,9
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Aragorn,Men,76
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Frodo,Hobbit,68
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Gatekeeper,Men,38
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Innkeeper,Men,76
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Man,Men,13
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Merry,Hobbit,6
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Pippin,Hobbit,39
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Sam,Hobbit,30
The Fellowship Of The Ring,15: At The Sign of the Prancing Pony,Bree,Bree,Voice Of The Ring,Ainur,19
The Fellowship Of The Ring,16: The Nazgul,Bree,Chetwood forest,Aragorn,Men,96
The Fellowship Of The Ring,16: The Nazgul,Bree,Chetwood forest,Frodo,Hobbit,29
The Fellowship Of The Ring,16: The Nazgul,Bree,Chetwood forest,Merry,Hobbit,28
The Fellowship Of The Ring,16: The Nazgul,Bree,Chetwood forest,Pippin,Hobbit,25
The Fellowship Of The Ring,16: The Nazgul,Bree,Chetwood forest,Sam,Hobbit,17
The Fellowship Of The Ring,17: The Midgewater Marshes,Bree,Midgewater Marshes/Moors,Aragorn,Men,33
The Fellowship Of The Ring,17: The Midgewater Marshes,Bree,Midgewater Marshes/Moors,Frodo,Hobbit,12
The Fellowship Of The Ring,17: The Midgewater Marshes,Bree,Midgewater Marshes/Moors,Merry,Hobbit,9
The Fellowship Of The Ring,18: The Spoiling Of Isengard,Isengard,Orthanc,Orc,Orc,10
The Fellowship Of The Ring,18: The Spoiling Of Isengard,Isengard,Orthanc,Saruman,Ainur,18
The Fellowship Of The Ring,18: The Spoiling Of Isengard,Isengard,Orthanc,Voice Of Sauron,Ainur,7
The Fellowship Of The Ring,18: The Spoiling Of Isengard,Isengard,Isengard Valley,Saruman,Ainur,4
The Fellowship Of The Ring,18: The Spoiling Of Isengard,Isengard,Isengard Valley,Orc,Orc,10
The Fellowship Of The Ring,19: A Knife In The Dark,Bree,Weathertop / Weatherhills,Aragorn,Men,53
The Fellowship Of The Ring,19: A Knife In The Dark,Bree,Weathertop / Weatherhills,Frodo,Hobbit,16
The Fellowship Of The Ring,19: A Knife In The Dark,Bree,Weathertop / Weatherhills,Merry,Hobbit,13
The Fellowship Of The Ring,19: A Knife In The Dark,Bree,Weathertop / Weatherhills,Pippin,Hobbit,12
The Fellowship Of The Ring,19: A Knife In The Dark,Bree,Weathertop / Weatherhills,Sam,Hobbit,24
The Fellowship Of The Ring,20: The Caverns Of Isengard,Isengard,Orthanc,Gandalf,Ainur,5
The Fellowship Of The Ring,21: Flight To The Ford,Rivendell,Trollshaw forest,Aragorn,Men,48
The Fellowship Of The Ring,21: Flight To The Ford,Rivendell,Trollshaw forest,Arwen,Elf,89
The Fellowship Of The Ring,21: Flight To The Ford,Rivendell,Ford of Bruinen,Arwen,Elf,42
The Fellowship Of The Ring,21: Flight To The Ford,Rivendell,Trollshaw forest,Merry,Hobbit,5
The Fellowship Of The Ring,21: Flight To The Ford,Rivendell,Ford of Bruinen,Nazgul,Nazgul,6
The Fellowship Of The Ring,21: Flight To The Ford,Rivendell,Trollshaw forest,Pippin,Hobbit,9
The Fellowship Of The Ring,21: Flight To The Ford,Rivendell,Trollshaw forest,Sam,Hobbit,34
The Fellowship Of The Ring,22: Rivendell,Rivendell,Frodo's Bedroom,Frodo,Hobbit,12
The Fellowship Of The Ring,22: Rivendell,Rivendell,Frodo's Bedroom,Gandalf,Ainur,64
The Fellowship Of The Ring,22: Rivendell,Isengard,Orthanc,Gandalf,Ainur,22
The Fellowship Of The Ring,22: Rivendell,Isengard,Orthanc,Saruman,Ainur,33
The Fellowship Of The Ring,23: Many Meetings,Rivendell,Rivendell Terrace,Bilbo,Hobbit,36
The Fellowship Of The Ring,23: Many Meetings,Rivendell,Frodo's Bedroom,Elrond,Elf,5
The Fellowship Of The Ring,23: Many Meetings,Rivendell,Frodo's Bedroom,Frodo,Hobbit,5
The Fellowship Of The Ring,23: Many Meetings,Rivendell,Rivendell Terrace,Frodo,Hobbit,102
The Fellowship Of The Ring,23: Many Meetings,Rivendell,Frodo's Bedroom,Gandalf,Ainur,18
The Fellowship Of The Ring,23: Many Meetings,Rivendell,Frodo's Bedroom,Sam,Hobbit,17
The Fellowship Of The Ring,23: Many Meetings,Rivendell,Rivendell Terrace,Sam,Hobbit,46
The Fellowship Of The Ring,24: The Fate Of The Ring,Rivendell,Elrond's Chamber,Elrond,Elf,252
The Fellowship Of The Ring,24: The Fate Of The Ring,Mordor,Mount Doom,Elrond,Elf,8
The Fellowship Of The Ring,24: The Fate Of The Ring,Rivendell,Elrond's Chamber,Gandalf,Ainur,102
The Fellowship Of The Ring,24: The Fate Of The Ring,Mordor,Mount Doom,Isildur,Men,1
The Fellowship Of The Ring,25: The Sword That Was Broken,Rivendell,Elrond's Chamber,Aragorn,Men,25
The Fellowship Of The Ring,25: The Sword That Was Broken,Rivendell,Elrond's Chamber,Arwen,Elf,47
The Fellowship Of The Ring,25: The Sword That Was Broken,Rivendell,Elrond's Chamber,Boromir,Men,39
The Fellowship Of The Ring,26: The Evenstar,Rivendell,Unknown,Aragorn,Men,24
The Fellowship Of The Ring,26: The Evenstar,Rivendell,Unknown,Arwen,Elf,57
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Aragorn,Men,40
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Boromir,Men,220
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Elrond,Elf,167
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Frodo,Hobbit,24
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Gandalf,Ainur,85
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Gimli,Dwarf,38
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Legolas,Elf,34
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Man,Men,4
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Merry,Hobbit,24
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Pippin,Hobbit,18
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Sam,Hobbit,8
The Fellowship Of The Ring,27: The Council Of Elrond,Rivendell,Council Chamber,Voice Of The Ring,Ainur,12
The Fellowship Of The Ring,28: Gilraen's Memorial,Rivendell,Unknown,Aragorn,Men,11
The Fellowship Of The Ring,28: Gilraen's Memorial,Rivendell,Unknown,Elrond,Elf,65
The Fellowship Of The Ring,29: Bilbo's Gifts,Rivendell,Frodo's Bedroom,Bilbo,Hobbit,105
The Fellowship Of The Ring,29: Bilbo's Gifts,Rivendell,Frodo's Bedroom,Frodo,Hobbit,3
The Fellowship Of The Ring,30: The Departure Of The Fellowship,Rivendell,Unknown,Elrond,Elf,48
The Fellowship Of The Ring,30: The Departure Of The Fellowship,Rivendell,Unknown,Frodo,Hobbit,7
The Fellowship Of The Ring,30: The Departure Of The Fellowship,Rivendell,Unknown,Gandalf,Ainur,7
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Aragorn,Men,12
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Boromir,Men,15
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Gandalf,Ainur,68
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Gimli,Dwarf,47
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Legolas,Elf,3
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Merry,Hobbit,17
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Pippin,Hobbit,10
The Fellowship Of The Ring,31: The Ring Goes South,Misty Mountains,Eregion Hills,Sam,Hobbit,3
The Fellowship Of The Ring,32: The Pass Of Caradhras,Misty Mountains,Caradhras,Aragorn,Men,30
The Fellowship Of The Ring,32: The Pass Of Caradhras,Misty Mountains,Caradhras,Boromir,Men,61
The Fellowship Of The Ring,32: The Pass Of Caradhras,Misty Mountains,Caradhras,Frodo,Hobbit,6
The Fellowship Of The Ring,32: The Pass Of Caradhras,Misty Mountains,Caradhras,Gandalf,Ainur,18
The Fellowship Of The Ring,32: The Pass Of Caradhras,Misty Mountains,Caradhras,Gimli,Dwarf,19
The Fellowship Of The Ring,32: The Pass Of Caradhras,Misty Mountains,Caradhras,Legolas,Elf,8
The Fellowship Of The Ring,32: The Pass Of Caradhras,Isengard,Orthanc,Saruman,Ainur,68
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Aragorn,Men,31
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Boromir,Men,31
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Frodo,Hobbit,30
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Gandalf,Ainur,202
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Gimli,Dwarf,52
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Legolas,Elf,7
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Merry,Hobbit,9
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Pippin,Hobbit,11
The Fellowship Of The Ring,33: Moria,Moria,Moria Gate,Sam,Hobbit,7
The Fellowship Of The Ring,34: A Journey In The Dark,Moria,Moria Tunnel,Frodo,Hobbit,39
The Fellowship Of The Ring,34: A Journey In The Dark,Moria,Moria Tunnel,Gandalf,Ainur,349
The Fellowship Of The Ring,34: A Journey In The Dark,Moria,Moria Tunnel,Gimli,Dwarf,6
The Fellowship Of The Ring,34: A Journey In The Dark,Moria,Moria Tunnel,Merry,Hobbit,8
The Fellowship Of The Ring,34: A Journey In The Dark,Moria,Moria Tunnel,Pippin,Hobbit,10
The Fellowship Of The Ring,34: A Journey In The Dark,Moria,Moria Tunnel,Sam,Hobbit,7
The Fellowship Of The Ring,35: Balin's Tomb,Moria,Balin's Tomb,Aragorn,Men,22
The Fellowship Of The Ring,35: Balin's Tomb,Moria,Balin's Tomb,Frodo,Hobbit,8
The Fellowship Of The Ring,35: Balin's Tomb,Moria,Balin's Tomb,Gandalf,Ainur,70
The Fellowship Of The Ring,35: Balin's Tomb,Moria,Balin's Tomb,Gimli,Dwarf,37
The Fellowship Of The Ring,35: Balin's Tomb,Moria,Balin's Tomb,Legolas,Elf,8
The Fellowship Of The Ring,35: Balin's Tomb,Moria,Balin's Tomb,Sam,Hobbit,13
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Dwarondelf Chamber,Gandalf,Ainur,19
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Dwarondelf Chamber,Boromir,Men,5
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Khaza-dum,Aragorn,Men,12
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Khaza-dum,Boromir,Men,10
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Khaza-dum,Frodo,Hobbit,4
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Khaza-dum,Gandalf,Ainur,83
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Khaza-dum,Gimli,Dwarf,7
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Khaza-dum,Legolas,Elf,4
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Dimroll Dale Door,Boromir,Men,7
The Fellowship Of The Ring,36: The Bridge Of Khazad-dum,Moria,Dimroll Dale Door,Aragorn,Men,33
The Fellowship Of The Ring,37: Lothlorien,Lothlorien,Edge of Lothlorien,Aragorn,Men,26
The Fellowship Of The Ring,37: Lothlorien,Lothlorien,Edge of Lothlorien,Boromir,Men,27
The Fellowship Of The Ring,37: Lothlorien,Voiceover,Unknown,Galadriel,Elf,19
The Fellowship Of The Ring,37: Lothlorien,Lothlorien,Edge of Lothlorien,Gimli,Dwarf,84
The Fellowship Of The Ring,37: Lothlorien,Lothlorien,Edge of Lothlorien,Haldir,Elf,51
The Fellowship Of The Ring,37: Lothlorien,Lothlorien,Edge of Lothlorien,Legolas,Elf,7
The Fellowship Of The Ring,37: Lothlorien,Lothlorien,Edge of Lothlorien,Sam,Hobbit,2
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Aragorn,Men,16
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Boromir,Men,149
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Celeborn,Elf,61
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Galadriel,Elf,135
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Haldir,Elf,19
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Legolas,Elf,41
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Merry,Hobbit,6
The Fellowship Of The Ring,38: Caras Galadhon,Lothlorien,Caras Galadhon,Sam,Hobbit,49
The Fellowship Of The Ring,39: The Mirror Of Galadriel,Lothlorien,Galadriels Glade,Frodo,Hobbit,36
The Fellowship Of The Ring,39: The Mirror Of Galadriel,Lothlorien,Galadriels Glade,Galadriel,Elf,214
The Fellowship Of The Ring,40: The Fighting Uruk-hai,Isengard,Caverns below Isengard,Lurtz,Orc,1
The Fellowship Of The Ring,40: The Fighting Uruk-hai,Isengard,Caverns below Isengard,Saruman,Ainur,83
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Aragorn,Men,13
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Celeborn,Elf,99
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Galadriel,Elf,166
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Gimli,Dwarf,81
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Legolas,Elf,20
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Merry,Hobbit,5
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Pippin,Hobbit,1
The Fellowship Of The Ring,41: Farewell To Lorien,Lothlorien,Silverlode River Bank,Sam,Hobbit,13
The Fellowship Of The Ring,42: The Great River,Parth Galen,River Anduin,Aragorn,Men,64
The Fellowship Of The Ring,42: The Great River,Parth Galen,River Anduin,Boromir,Men,103
The Fellowship Of The Ring,42: The Great River,Parth Galen,River Anduin,Frodo,Hobbit,16
The Fellowship Of The Ring,42: The Great River,Parth Galen,River Anduin,Sam,Hobbit,37
The Fellowship Of The Ring,43: Parth Galen,Parth Galen,Nen Hithoel,Aragorn,Men,79
The Fellowship Of The Ring,43: Parth Galen,Parth Galen,Nen Hithoel,Gimli,Dwarf,48
The Fellowship Of The Ring,43: Parth Galen,Parth Galen,Nen Hithoel,Legolas,Elf,31
The Fellowship Of The Ring,43: Parth Galen,Parth Galen,Nen Hithoel,Merry,Hobbit,2
The Fellowship Of The Ring,43: Parth Galen,Parth Galen,Amon Hen,Frodo,Hobbit,54
The Fellowship Of The Ring,43: Parth Galen,Parth Galen,Amon Hen,Voice Of The Ring,Ainur,3
The Fellowship Of The Ring,43: Parth Galen,Parth Galen,Amon Hen,Boromir,Men,221
The Fellowship Of The Ring,44: The Breaking Of The Fellowship,Parth Galen,Amon Hen,Aragorn,Men,2
The Fellowship Of The Ring,44: The Breaking Of The Fellowship,Parth Galen,Parth Galen Hillside,Boromir,Men,2
The Fellowship Of The Ring,44: The Breaking Of The Fellowship,Parth Galen,Parth Galen Hillside,Legolas,Elf,6
The Fellowship Of The Ring,44: The Breaking Of The Fellowship,Parth Galen,Parth Galen Hillside,Lurtz,Orc,6
The Fellowship Of The Ring,44: The Breaking Of The Fellowship,Parth Galen,Parth Galen Hillside,Merry,Hobbit,18
The Fellowship Of The Ring,44: The Breaking Of The Fellowship,Parth Galen,Parth Galen Hillside,Pippin,Hobbit,17
The Fellowship Of The Ring,44: The Breaking Of The Fellowship,Parth Galen,Parth Galen Hillside,Sam,Hobbit,2
The Fellowship Of The Ring,45: The Departure Of Boromir,Parth Galen,Parth Galen Hillside,Aragorn,Men,72
The Fellowship Of The Ring,45: The Departure Of Boromir,Parth Galen,Parth Galen Hillside,Boromir,Men,72
The Fellowship Of The Ring,46: The Road Goes Ever On,Parth Galen,Parth Galen Hillside,Aragorn,Men,102
The Fellowship Of The Ring,46: The Road Goes Ever On,Parth Galen,Nen Hithoel,Frodo,Hobbit,59
The Fellowship Of The Ring,46: The Road Goes Ever On,Voiceover,Unknown,Gandalf,Ainur,34
The Fellowship Of The Ring,46: The Road Goes Ever On,Parth Galen,Parth Galen Hillside,Gimli,Dwarf,12
The Fellowship Of The Ring,46: The Road Goes Ever On,Parth Galen,Parth Galen Hillside,Legolas,Elf,15
The Fellowship Of The Ring,46: The Road Goes Ever On,Parth Galen,Nen Hithoel,Sam,Hobbit,50
The Two Towers,01: The Foundations Of Stone,Moria,Khaza-dum,Boromir,Men,2
The Two Towers,01: The Foundations Of Stone,Moria,Khaza-dum,Frodo,Hobbit,9
The Two Towers,01: The Foundations Of Stone,Moria,Khaza-dum,Gandalf,Ainur,39
The Two Towers,01: The Foundations Of Stone,Moria,Khaza-dum,Sam,Hobbit,5
The Two Towers,02: Elven Rope,Emyn Muil,Emyn Muil,Frodo,Hobbit,46
The Two Towers,02: Elven Rope,Emyn Muil,Emyn Muil,Sam,Hobbit,97
The Two Towers,03: The Taming of Smeagol,Emyn Muil,Emyn Muil,Frodo,Hobbit,123
The Two Towers,03: The Taming of Smeagol,Emyn Muil,Emyn Muil,Gollum,Gollum,147
The Two Towers,03: The Taming of Smeagol,Emyn Muil,Emyn Muil,Sam,Hobbit,181
The Two Towers,03: The Taming of Smeagol,Emyn Muil,Emyn Muil,Smeagol,Gollum,28
The Two Towers,04: The Uruk-Hai,Rohan,The plains,Grishnakh,Orc,10
The Two Towers,04: The Uruk-Hai,Rohan,The plains,Mauhur,Orc,2
The Two Towers,04: The Uruk-Hai,Rohan,The plains,Merry,Hobbit,19
The Two Towers,04: The Uruk-Hai,Rohan,The plains,Pippin,Hobbit,26
The Two Towers,04: The Uruk-Hai,Rohan,The plains,Ugluk,Orc,51
The Two Towers,05: The Three Hunters,Rohan,The plains,Aragorn,Men,59
The Two Towers,05: The Three Hunters,Rohan,The plains,Gimli,Dwarf,35
The Two Towers,05: The Three Hunters,Rohan,The plains,Legolas,Elf,25
The Two Towers,06: The Burning of the Westfold,Rohan,Westfold,Eothain,Men,2
The Two Towers,06: The Burning of the Westfold,Rohan,Westfold,Freda,Men,24
The Two Towers,06: The Burning of the Westfold,Rohan,Westfold,Morwen,Men,37
The Two Towers,06: The Burning of the Westfold,Isengard,Caverns below Isengard,Orc,Orc,29
The Two Towers,06: The Burning of the Westfold,Isengard,Orthanc,Saruman,Ainur,92
The Two Towers,06: The Burning of the Westfold,Isengard,Caverns below Isengard,Wild Man,Men,11
The Two Towers,06: The Burning of the Westfold,Isengard,Caverns below Isengard,Saruman,Ainur,95
The Two Towers,07: Massacre at the Fords of Isen,Rohan,Fords of Isen,Eomer,Men,13
The Two Towers,07: Massacre at the Fords of Isen,Rohan,Fords of Isen,Rohan Warrior,Men,10
The Two Towers,08: The Banishment of Eomer,Rohan,Edoras,Eomer,Men,88
The Two Towers,08: The Banishment of Eomer,Rohan,Edoras,Eowyn,Men,8
The Two Towers,08: The Banishment of Eomer,Rohan,Edoras,Grima Wormtongue,Men,81
The Two Towers,08: The Banishment of Eomer,Rohan,Edoras,Theoden,Men,3
The Two Towers,09: On The Trail Of The Uruk-Hai,Rohan,The plains,Gimli,Dwarf,6
The Two Towers,09: On The Trail Of The Uruk-Hai,Rohan,The plains,Legolas,Elf,13
The Two Towers,10: Night Camp At Fangorn,Fangorn,The edge of the forest,Grishnakh,Orc,44
The Two Towers,10: Night Camp At Fangorn,Fangorn,The edge of the forest,Legolas,Elf,10
The Two Towers,10: Night Camp At Fangorn,Fangorn,The edge of the forest,Merry,Hobbit,68
The Two Towers,10: Night Camp At Fangorn,Fangorn,The edge of the forest,Orc,Orc,20
The Two Towers,10: Night Camp At Fangorn,Fangorn,The edge of the forest,Pippin,Hobbit,14
The Two Towers,10: Night Camp At Fangorn,Fangorn,The edge of the forest,Ugluk,Orc,33
The Two Towers,10: Night Camp At Fangorn,Fangorn,The edge of the forest,Uruk-hai,Orc,13
The Two Towers,11: The Riders Of Rohan,Rohan,The plains,Aragorn,Men,68
The Two Towers,11: The Riders Of Rohan,Rohan,The plains,Eomer,Men,156
The Two Towers,11: The Riders Of Rohan,Rohan,The plains,Gimli,Dwarf,24
The Two Towers,11: The Riders Of Rohan,Rohan,The plains,Legolas,Elf,7
The Two Towers,12: The Fate Of Merry And Pippin,Fangorn,The edge of the forest,Aragorn,Men,33
The Two Towers,12: The Fate Of Merry And Pippin,Fangorn,The edge of the forest,Gimli,Dwarf,16
